HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
A4234,J-cell batt for glucose mon,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each"
A4235,Lithium batt for glucose mon,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each"
A4236,Silvr oxide batt glucose mon,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each"
A4238,Adju cgm supply allowance,"Supply allowance for adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service"
A4239,Non-adju cgm supply allow,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service"
A4244,Alcohol or peroxide per pint,"Alcohol or peroxide, per pint"
A4245,Alcohol wipes per box,"Alcohol wipes, per box"
A4246,Betadine/phisohex solution,"Betadine or phisohex solution, per pint"
A4247,Betadine/iodine swabs/wipes,"Betadine or iodine swabs/wipes, per box"
A4248,Chlorhexidine antisept,"Chlorhexidine containing antiseptic, 1 ml"
A4250,Urine reagent strips/tablets,Urine test or reagent strips or tablets (100 tablets or strips)
A4252,Blood ketone test or strip,"Blood ketone test or reagent strip, each"
A4253,Blood glucose/reagent strips,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"
A4255,Glucose monitor platforms,"Platforms for home blood glucose monitor, 50 per box"
A4256,Calibrator solution/chips,"Normal, low and high calibrator solution / chips"
A4257,Replace lensshield cartridge,"Replacement lens shield cartridge for use with laser skin piercing device, each"
A4258,Lancet device each,"Spring-powered device for lancet, each"
A4259,Lancets per box,"Lancets, per box of 100"
A4261,Cervical cap contraceptive,Cervical cap for contraceptive use
A4262,Temporary tear duct plug,"Temporary, absorbable lacrimal duct implant, each"
A4263,Permanent tear duct plug,"Permanent, long term, non-dissolvable lacrimal duct implant, each"
A4264,Intratubal occlusion device,Permanent implantable contraceptive intratubal occlusion device(s) and delivery system
A4265,Paraffin,"Paraffin, per pound"
A4266,Diaphragm,Diaphragm for contraceptive use
A4267,Male condom,"Contraceptive supply, condom, male, each"
A4268,Female condom,"Contraceptive supply, condom, female, each"
A4269,Spermicide,"Contraceptive supply, spermicide (e.g., foam, gel), each"
A4270,Disposable endoscope sheath,"Disposable endoscope sheath, each"
A4271,Home lancing/test cartridges,"Integrated lancing and blood sample testing cartridges for home blood glucose monitor, per 50 tests"
A4280,Brst prsths adhsv attchmnt,"Adhesive skin support attachment for use with external breast prosthesis, each"
A4281,Replacement breastpump tube,"Tubing for breast pump, replacement"
A4282,Replacement breastpump adpt,"Adapter for breast pump, replacement"
A4283,Replacement breastpump cap,"Cap for breast pump bottle, replacement"
A4284,Replcmnt breast pump shield,"Breast shield and splash protector for use with breast pump, replacement"
A4285,Replcmnt breast pump bottle,"Polycarbonate bottle for use with breast pump, replacement"
A4286,Replcmnt breastpump lok ring,"Locking ring for breast pump, replacement"
A4287,Disp col sto bag breast milk,"Disposable collection and storage bag for breast milk, any size, any type, each"
A4288,Replacement breastpump valve,"Valve for breast pump, replacement"
A4290,Sacral nerve stim test lead,"Sacral nerve stimulation test lead, each"
A4295,Straigh tip hydrophilic cath,"Intermittent urinary catheter; straight tip, hydrophilic coating, each"
A4296,Coude tip hydrophilic cath,"Intermittent urinary catheter; coude (curved) tip, hydrophilic coating, each"
A4297,Hydrophilic coat insert sup,"Intermittent urinary catheter; hydrophilic coating, with insertion supplies"
A4300,Cath impl vasc access portal,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access"
A4301,Implantable access syst perc,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)"
A4305,Drug delivery system >=50 ml,"Disposable drug delivery system, flow rate of 50 ml or greater per hour"
A4306,Drug delivery system <=50 ml,"Disposable drug delivery system, flow rate of less than 50 ml per hour"
A4310,Insert tray w/o bag/cath,Insertion tray without drainage bag and without catheter (accessories only)
A4311,Catheter w/o bag 2-way latex,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"
A4312,Cath w/o bag 2-way silicone,"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone"
A4313,Catheter w/bag 3-way,"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"
A4314,Cath w/drainage 2-way latex,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"
A4315,Cath w/drainage 2-way silcne,"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone"
A4316,Cath w/drainage 3-way,"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"
A4320,Irrigation tray,"Irrigation tray with bulb or piston syringe, any purpose"
A4321,Cath therapeutic irrig agent,Therapeutic agent for urinary catheter irrigation
A4322,Irrigation syringe,"Irrigation syringe, bulb or piston, each"
A4326,Male external catheter,"Male external catheter with integral collection chamber, any type, each"
A4327,Fem urinary collect dev cup,"Female external urinary collection device; meatal cup, each"
A4328,Fem urinary collect pouch,"Female external urinary collection device; pouch, each"
A4330,Stool collection pouch,"Perianal fecal collection pouch with adhesive, each"
A4331,Extension drainage tubing,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each"
A4332,Lube sterile packet,"Lubricant, individual sterile packet, each"
A4333,Urinary cath anchor device,"Urinary catheter anchoring device, adhesive skin attachment, each"
A4334,Urinary cath leg strap,"Urinary catheter anchoring device, leg strap, each"
A4335,Incontinence supply,Incontinence supply; miscellaneous
A4336,Urethral insert,"Incontinence supply, urethral insert, any type, each"
A4337,Incontinent rectal insert,"Incontinence supply, rectal insert, any type, each"
A4338,Indwelling catheter latex,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"
A4340,Indwelling catheter special,"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each"
A4341,Iduc valve pat inst repl,"Indwelling intraurethral drainage device with valve, patient inserted, replacement only, each"
A4342,Iduc valve sply repl,"Accessories for patient inserted indwelling intraurethral drainage device with valve, replacement only, each"
A4344,Cath indw foley 2 way silicn,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each"
A4346,Cath indw foley 3 way,"Indwelling catheter; foley type, three way for continuous irrigation, each"
A4349,Disposable male external cat,"Male external catheter, with or without adhesive, disposable, each"
A4351,Straight tip urine catheter,"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, or silicone elastomer, etc.), each"
A4352,Coude tip urinary catheter,"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, or silicone elastomeric, etc.), each"
A4353,Intermittent urinary cath,"Intermittent urinary catheter, with insertion supplies"
A4354,Cath insertion tray w/bag,Insertion tray with drainage bag but without catheter
A4355,Bladder irrigation tubing,"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each"
A4356,Ext ureth clmp or compr dvc,"External urethral clamp or compression device (not to be used for catheter clamp), each"
A4357,Bedside drainage bag,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each"
A4358,Urinary leg or abdomen bag,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each"
A4360,Disposable ext urethral dev,"Disposable external urethral clamp or compression device, with pad and/or pouch, each"
A4361,Ostomy face plate,"Ostomy faceplate, each"
A4362,Solid skin barrier,"Skin barrier; solid, 4 x 4 or equivalent; each"
A4363,"Ostomy clamp, replacement","Ostomy clamp, any type, replacement only, each"
A4364,"Adhesive, liquid or equal","Adhesive, liquid or equal, any type, per oz"
A4366,Ostomy vent,"Ostomy vent, any type, each"
A4367,Ostomy belt,"Ostomy belt, each"
A4368,Ostomy filter,"Ostomy filter, any type, each"
A4369,Skin barrier liquid per oz,"Ostomy skin barrier, liquid (spray, brush, etc.), per oz"
A4371,Skin barrier powder per oz,"Ostomy skin barrier, powder, per oz"
A4372,Skin barrier solid 4x4 equiv,"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each"
A4373,Skin barrier with flange,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each"
A4375,Drainable plastic pch w fcpl,"Ostomy pouch, drainable, with faceplate attached, plastic, each"
A4376,Drainable rubber pch w fcplt,"Ostomy pouch, drainable, with faceplate attached, rubber, each"
A4377,Drainable plstic pch w/o fp,"Ostomy pouch, drainable, for use on faceplate, plastic, each"
A4378,Drainable rubber pch w/o fp,"Ostomy pouch, drainable, for use on faceplate, rubber, each"
A4379,Urinary plastic pouch w fcpl,"Ostomy pouch, urinary, with faceplate attached, plastic, each"
A4380,Urinary rubber pouch w fcplt,"Ostomy pouch, urinary, with faceplate attached, rubber, each"
A4381,Urinary plastic pouch w/o fp,"Ostomy pouch, urinary, for use on faceplate, plastic, each"
A4382,Urinary hvy plstc pch w/o fp,"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each"
A4383,Urinary rubber pouch w/o fp,"Ostomy pouch, urinary, for use on faceplate, rubber, each"
A4384,Ostomy faceplt/silicone ring,"Ostomy faceplate equivalent, silicone ring, each"
A4385,Ost skn barrier sld ext wear,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each"
A4387,Ost clsd pouch w att st barr,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each"
A4388,Drainable pch w ex wear barr,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each"
A4389,Drainable pch w st wear barr,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each"
A4390,Drainable pch ex wear convex,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each"
A4391,Urinary pouch w ex wear barr,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each"
A4392,Urinary pouch w st wear barr,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each"
A4393,Urine pch w ex wear bar conv,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each"
A4394,Ostomy pouch liq deodorant,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce"
A4395,Ostomy pouch solid deodorant,"Ostomy deodorant for use in ostomy pouch, solid, per tablet"
A4396,Peristomal hernia supprt blt,Ostomy belt with peristomal hernia support
A4397,Irrigation supply sleeve,"Irrigation supply; sleeve, each"
A4398,Ostomy irrigation bag,"Ostomy irrigation supply; bag, each"
A4399,Ostomy irrig cone/cath w brs,"Ostomy irrigation supply; cone/catheter, with or without brush"
A4400,Ostomy irrigation set,Ostomy irrigation set
A4402,Lubricant per ounce,"Lubricant, per ounce"
A4404,Ostomy ring each,"Ostomy ring, each"
A4405,Nonpectin based ostomy paste,"Ostomy skin barrier, non-pectin based, paste, per ounce"
A4406,Pectin based ostomy paste,"Ostomy skin barrier, pectin-based, paste, per ounce"
A4407,"Ext wear ost skn barr <=4sq""","Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each"
A4408,"Ext wear ost skn barr >4sq""","Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each"
A4409,Ost skn barr convex <=4 sq i,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each"
A4410,Ost skn barr extnd >4 sq,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each"
A4411,Ost skn barr extnd =4sq,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each"
A4412,Ost pouch drain high output,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each"
A4413,2 pc drainable ost pouch,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each"
A4414,Ost sknbar w/o conv<=4 sq in,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each"
A4415,Ost skn barr w/o conv >4 sqi,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each"
A4416,Ost pch clsd w barrier/filtr,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each"
A4417,Ost pch w bar/bltinconv/fltr,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each"
A4418,Ost pch clsd w/o bar w filtr,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each"
A4419,Ost pch for bar w flange/flt,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each"
A4420,Ost pch clsd for bar w lk fl,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each"
A4421,Ostomy supply misc,Ostomy supply; miscellaneous
A4422,Ost pouch absorbent material,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each"
A4423,Ost pch for bar w lk fl/fltr,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each"
A4424,Ost pch drain w bar & filter,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each"
A4425,Ost pch drain for barrier fl,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each"
A4426,Ost pch drain 2 piece system,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each"
A4427,Ost pch drain/barr lk flng/f,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each"
A4428,Urine ost pouch w faucet/tap,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each"
A4429,Urine ost pouch w bltinconv,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"
A4430,Ost urine pch w b/bltin conv,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"
A4431,Ost pch urine w barrier/tapv,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each"
A4432,Os pch urine w bar/fange/tap,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each"
A4433,Urine ost pch bar w lock fln,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each"
A4434,Ost pch urine w lock flng/ft,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each"
A4435,1pc ost pch drain hgh output,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each"
A4436,Irr supply sleev reus per mo,"Irrigation supply; sleeve, reusable, per month"
A4437,Irr supply sleev disp per mo,"Irrigation supply; sleeve, disposable, per month"
A4438,Adhesive clip ext ens contr,"Adhesive clip applied to the skin to secure external electrical nerve stimulator controller, each"
A4450,Non-waterproof tape,"Tape, non-waterproof, per 18 square inches"
A4452,Waterproof tape,"Tape, waterproof, per 18 square inches"
A4453,"Rec cath any transanal, each","Rectal catheter with or without balloon, for use with any type transanal irrigation system, each"
A4455,Adhesive remover per ounce,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce"
A4456,"Adhesive remover, wipes","Adhesive remover, wipes, any type, each"
A4457,Enema tube any type repl,"Enema tube, with or without adapter, any type, replacement only, each"
A4458,Reusable enema bag,"Enema bag with tubing, reusable"
A4459,"Transanal irrigation, any","Manual transanal irrigation system, includes water reservoir, pump, tubing, and accessories, without catheter, any type"
A4461,Surgicl dress hold non-reuse,"Surgical dressing holder, non-reusable, each"
A4463,Surgical dress holder reuse,"Surgical dressing holder, reusable, each"
A4465,Non-elastic extremity binder,Non-elastic binder for extremity
A4466,Elastic garment/covering,"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each"
A4467,Belt strap sleev grmnt cover,"Belt, strap, sleeve, garment, or covering, any type"
A4468,Exsuff belt incl all sup acc,"Exsufflation belt, includes all supplies and accessories"
A4470,Gravlee jet washer,Gravlee jet washer
A4480,Vabra aspirator,Vabra aspirator
A4481,Tracheostoma filter,"Tracheostoma filter, any type, any size, each"
A4483,Moisture exchanger,"Moisture exchanger, disposable, for use with invasive mechanical ventilation"
A4490,Above knee surgical stocking,"Surgical stockings above knee length, each"
A4495,Thigh length surg stocking,"Surgical stockings thigh length, each"
A4500,Below knee surgical stocking,"Surgical stockings below knee length, each"
A4510,Full length surg stocking,"Surgical stockings full length, each"
A4520,Incontinence garment anytype,"Incontinence garment, any type, (e.g., brief, diaper), each"
A4540,Trans elec nerv periph nerv,"Distal transcutaneous electrical nerve stimulator, stimulates peripheral nerves of the upper arm"
A4541,Monthly supp use with e0733,Monthly supplies for use of device coded at e0733
A4542,Supp ext up limb tremor stim,Supplies and accessories for external upper limb tremor stimulator of the peripheral nerves of the wrist
A4543,Supply trans elec nerve stim,"Supplies for transcutaneous electrical nerve stimulator, for nerves in the auricular region, per month"
A4544,Electro nerve stimulator rls,Electrode for external lower extremity nerve stimulator for restless legs syndrome
A4545,Suppl accessor tibial stim,"Supplies and accessories for external tibial nerve stimulator (e.g., socks, gel pads, electrodes, etc.), needed for one month"
A4550,Surgical trays,Surgical trays
A4553,"Nondisp underpads, all sizes","Non-disposable underpads, all sizes"
A4554,Disposable underpads,"Disposable underpads, all sizes"
A4555,Ca tx e-stim electr/transduc,"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only"
A4556,"Electrodes, pair","Electrodes, (e.g., apnea monitor), per pair"
A4557,"Lead wires, pair","Lead wires, (e.g., apnea monitor), per pair"
A4558,Conductive gel or paste,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz"
A4559,Coupling gel or paste,"Coupling gel or paste, for use with ultrasound device, per oz"
A4560,Nmes disposable,"Neuromuscular electrical stimulator (nmes), disposable, replacement only"
A4561,Pessary reusable rub anytype,"Pessary, reusable, rubber, any type"
A4562,Pessary reusable nonrubber,"Pessary, reusable, non rubber, any type"
A4563,Vag inser rectal control sys,"Rectal control system for vaginal insertion, for long term use, includes pump and all supplies and accessories, any type each"
A4564,"Pessary, disposable any type","Pessary, disposable, any type"
A4565,Slings,Slings
A4566,Should sling/vest/abrestrain,"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment"
A4570,Splint,Splint
A4575,Hyperbaric o2 chamber disps,"Topical hyperbaric oxygen chamber, disposable"
A4580,Cast supplies (plaster),"Cast supplies (e.g., plaster)"
A4590,Special casting material,"Special casting material (e.g., fiberglass)"
